date,datetime,desc,img,link,media,title
1 month ago,2020-12-01 17:12:12.159835,"In a video message Friday, Pfizer's chief executive, Dr. Albert Bourla, called it a “historic day,” and said: “It is with great pride and joy — and even a little relief — ...","data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",https://www.nytimes.com/2020/11/20/health/pfizer-covid-vaccine.html,The New York Times,Pfizer Applies for Emergency F.D.A. Approval for Covid-19 Vaccine
th · 1 month ago,2020-12-01 17:12:12.246562,"(CNN) A final analysis of the Phase 3 trial of Pfizer's coronavirus vaccine shows it was 95% effective in preventing infections, even in older adults, and caused no ...","data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",https://www.cnn.com/2020/11/18/health/pfizer-coronavirus-vaccine-safety/index.html,CNN,Pfizer and BioNTech say final analysis shows coronavirus vaccine is 95% effective with no safety concerns
1 month ago,2020-12-01 17:12:12.248557,"Pfizer is ready to ask the Food and Drug Administration to authorize emergency use of the company's COVID-19 vaccine, after an updated analysis of the clinical ...","data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",https://www.npr.org/sections/health-shots/2020/11/18/936060122/pfizer-to-seek-fda-ok-for-covid-19-vaccine-within-days,NPR,Pfizer To Seek FDA Authorization For Coronavirus Vaccine : Shots - Health News
1 month ago,2020-12-01 17:12:12.250551,"Bill Gruber, Pfizer's senior vice president of clinical development, told The Associated Press. “We're very encouraged.” ADVERTISEMENT. More COVID-19 News:.","data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",https://apnews.com/article/pfizer-vaccine-effective-early-data-4f4ae2e3bad122d17742be22a2240ae8,Associated Press,Pfizer says COVID-19 vaccine is looking 90% effective
on · 1 month ago,2020-12-01 17:12:12.316415,"Pfizer's Early Data Shows Vaccine Is More Than 90% Effective. Pfizer announced positive early results from its coronavirus vaccine trial, cementing the lead in a ...","data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",https://www.nytimes.com/2020/11/09/health/covid-vaccine-pfizer.html,The New York Times,Pfizer’s Early Data Shows Coronavirus Vaccine Is More Than 90% Effective
th · 1 month ago,2020-12-01 17:12:12.393212,"In Pfizer's 44,000-person trial, there have so far been 94 cases of covid-19, the disease caused by the virus, in people who were not previously infected. Fewer ...","data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",https://www.washingtonpost.com/health/2020/11/09/pfizer-coronavirus-vaccine-effective/,Washington Post,"Pfizer’s coronavirus vaccine is more than 90 percent effective in first analysis, company reports"
1 month ago,2020-12-01 17:12:12.395202,"Preliminary data from the Pfizer/BioNTech COVID-19 vaccine trial suggests it provides 90% efficacy at preventing the disease. At the very least, this news will ...","data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",https://theconversation.com/pfizer-covid-vaccine-promising-results-heres-what-needs-to-happen-next-149809,The Conversation UK,Pfizer COVID vaccine: promising results – here's what needs to happen next
1 month ago,2020-12-01 17:12:12.397198,"Pfizer's Covid-19 vaccine, made in partnership with the German firm BioNTech, will need to be stored at subzero temperatures, and there are distribution ...","data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",https://www.cnbc.com/2020/11/25/challenges-pfizer-faces-distributing-covid-19-vaccine-to-the-masses-.html,CNBC,The challenges Pfizer faces distributing its Covid-19 vaccine to the masses
1 month ago,2020-12-01 17:12:12.399195,How do the Pfizer-BioNTech and Moderna vaccines work? The first vaccine authorized in the United States was developed by pharmaceutical giant Pfizer and ...,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",https://www.washingtonpost.com/health/interactive/2020/covid-vaccines-what-you-need-to-know/,Washington Post,"Your questions about coronavirus vaccines, answered"
1 month ago,2020-12-01 17:12:12.401185,"Charter flights bringing Pfizer's COVID-19 vaccine to the United States from Belgium began on Friday, the start of what the Federal Aviation Administration calls ...","data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",https://www.usatoday.com/story/news/health/2020/11/29/pfizer-covid-vaccine-faa-belgium-air-shipment/6445339002/,USA TODAY,FAA confirms first 'mass air shipment' of Pfizer's COVID-19 vaccine from Belgium as US preps for distribution
1 month ago,2020-12-01 17:12:14.868555,Both Moderna and Pfizer's vaccine candidates involve 2 doses of injection to arm several weeks apart. By Kayla Rivas | Fox News.,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",https://www.foxnews.com/health/how-do-moderna-and-pfizer-coronavirus-vaccines-compare,Fox News,How do the Moderna and Pfizer coronavirus vaccines compare?
1 month ago,2020-12-01 17:12:14.870550,"Pfizer's vaccine announcement was an overall positive surprise for the market, affecting companies well outside the pharmaceutical industry. In addition to lifting ...","data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",https://www.investopedia.com/pfizer-and-the-headline-effect-5087757,Investopedia,Pfizer (PFE) and the Headline Effect
th · 1 month ago,2020-12-01 17:12:14.941399,"Last week, Pfizer and BioNTech said an early analysis of their vaccine candidate showed it was more than 90% effective in preventing Covid-19 infections ...","data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",https://www.cnbc.com/2020/11/16/coronavirus-biontech-ceo-says-life-could-return-to-normal-next-winter.html,CNBC,The creator of the Pfizer-BioNTech vaccine says life could return to normal by next winter
"Nov 2, 2020",2020-11-02 00:00:00.000000,Pfizer's product must be maintained at minus 75 degrees Celsius (-109.3 degrees Fahrenheit) to maintain its effectiveness. Officials this week said they expect to ...,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",https://www.freightwaves.com/news/pfizer-to-bypass-us-government-system-for-covid-vaccine-distribution,FreightWaves,Pfizer to bypass US government system for COVID vaccine distribution
